tweet,label
"I hate when a bitch can't take a compliment: ""You're so pretty"" ""No I'm not, I'm ugly"" ""WELL SHIT, YOU UGLY THEN, DAMN.....",offensive
@slings_x_arrows Equality niggah,offensive
"@_womanoverboard ""nigger""",hate speech
iMessage so trash,neither
Fucking gook,hate speech
@mikecheck_123 the favorite drink of white trash everywhere....,hate speech
"RT @TrapicalGod: If she has ""You know my name not my story"" in her bio you know she a hoe",offensive
RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,hate speech
"@_IAMKEN fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",hate speech
RT @domhowx: You know you're ugly when an ape was chosen as a man crush and you've never been http://t.co/DWPs7b4xJU,neither
@therealjuicyj @ProjectPatHcp yea ho,neither
"RT @_mikaylahh: I asked @zzachbarness to get me pink bunnies one time, so he brought me yellow chicks...&#128048;&#128149;",neither
RT @salomanizor: Too many faggots on here that think they can address me by my first name,hate speech
How is that not a yellow on Ronaldo for full on body bumping the ref?,neither
@ImpactParasite just fuckin roasted this faggot,hate speech
@DimitriCrossin bitch ass,offensive
"@TheJadedNYer oh, well turns out that baby aint mine! *does jig*",neither
The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm,neither
RT @SalamanCode: Proof that thots are retarded. http://t.co/rHJSlL9i9f,hate speech
"@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says ""u feel me"" &#128525;&#128525;&#128557;&#128166;",neither
"I had a dope ass parlay this week with San Fran... woulda won, but them hoes ran back the pick 6. SHIT BE RIGGED YO!",offensive
RT @clurfogarty: All Babies are born hipsters because they come out of the hospital in beanies.,offensive
"@DecodnLyfe @LupeFiasco @Larellj another black man? What does that have to do with anything? Once a monkey, always a monkey, Chicago idiot",offensive
"@MyNameShouldBe only one problem theres a ""no pussies allowed"" sorry @kerrythekilla...",hate speech
"@matt_chu22 @RyanRiehle I'll do that, if you agree to take your Ethiopian starvin looking nigger ass back to Africa. #BuyFoodLittleGuy",hate speech
@SBPart01 @melodybrooke11 fuzzy dice might be the nicest thing you could put in your car lol &#127922;&#127922;,neither
Tanning with my main bitch,offensive
"RT @PABLO_BAAIH: ""Good pussy is pussy that makes you really think bout making her breakfast pussy that makes you think about being a father""",offensive
@mark_mac18 @sheppast @rianscalia groves is trash IMO,neither
Next time u gone call a darky a nicca..call dat coon a jungle bunny#Boondocks P.S. I... http://t.co/ug647wUIE4,hate speech
Every gook in #LosAngeles should be deported or killed.,hate speech
"I hate when bitches ""been thinking"" smh",offensive
Happy birthday to this coon ass nigga buckcity @ThatLatsonKidd,hate speech
HAHAHAHA I'm so happy that bitch just spilt all her coffee everywhere,offensive
RT @ivanrabago_: @staycoolwheels @Studhardt22 Joshua is a faggot. Just suspend him on those grounds,hate speech
Jose Soto: Reflections of a former gay teabagger http://t.co/XtMMuzyK,neither
Now my side bitch my main bitch Bc my main hoe ain't feeling me no mo. No mo.,offensive
RT @Harry_Dillema: @GJK1979 @fluutekies @moniquesparla @wltrrr Ik vraag me al maanden af hoe de NL pers zich als een stel hoeren is gaan ge&#8230;,neither
"@VNNForum These Marxist kikes promoted Anti-Semitism by creating this film, what was their incentive? They just promote their enemies.",neither
"@politicsofamy Whoa easy Amy, don't slag the Canucks too much with such a generalization",neither
jacob u look like a monkey in dis http://t.co/rkaqn0GRQe,neither
@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches,hate speech
"Frozen peas and 
ibuprofen. My new best friends # cripple",neither
"@StarkFreeOrDie ...I fuckin' want OUT&gt; I'm tired of this bullshit faggot ass, closet racist, wannabe-commune-without-railroad state&gt; #Cali",hate speech
"RT @DogeTheDog: Wow
 Such banana
 So potassium 
 Much yellow http://t.co/xINHDwyTqS",neither
If a chick wants me to eat her pussy then leave I'll accept gladly. Lol,offensive
"Black guy in class: *attempts to throw a paper ball into the trash*
*misses* 
Mrs. Mundy: ""You're a disgrace to your race, Marcus""
&#128514;&#128514;&#128514;",neither
"RT @ASAP_Ford: I hate when a nigga ask me ""Where the hoes?"" .... Nigga idfk !",hate speech
&#128514;&#128514;&#128514;RT @kwagiheath: Them 1st 48 Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down&#128293;,hate speech
Ain't even fuckin wit shady bitches,offensive
Naw RT @BakeGriffin Am I the only one mad that ESPN gonna be talking about faggot ass Penn State all week?,hate speech
Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long,offensive
"Baby I'll whisper Vietnamese to you all soft like, ""ching... chong ting o long....""",neither
"RT @ImNeverChillin: When yo phone go off in class &amp; the teacher say ""turn that trash off"" but it's one of the songs on yo mixtape http://t.&#8230;",neither
@lcl03 the slopes aren't for us bro Hahaha,neither
@felicity182 a pussy in ur mouth is a really good stress reliever doctors recommend,offensive
"RT @J23app: Feb 2015
Jordan 4 Retro Remastered
""Oreo""
314254-003
http://t.co/NBOaxG1S19",neither
I like Chinese buffets but I hate all the chinks,hate speech
#DTLA is trash because of non-Europeans are allowed to live there.,hate speech
@Tristine214 I swear des hoes just making up challenges now,offensive
RT @YaaBoyShiki: How the fuck can some people not get atleast 1 on flappy bird. I just got 11 while smoking a fuckin square.,offensive
"Bro everybody is a ho then, fuck it, your favorite Color is mango red you are a ho, you charge your phone all the way to 100% = Ho, smh",hate speech
RT @steviegarcia11: Here come wiggas soft tweets.. &#128514;,neither
RT @xDSmooth: The way this niggah just flinched at this movie was #priceless @1BookieG,hate speech
Boy Yung thug is a fag,hate speech
RT @AnnTelnaes: Halloween candy corn bird http://t.co/kTNbyuTYKw,neither
RT @darahkcarter: I don't have a key to my car that bitch foreign &#128080;,offensive
@ryancommakerry I'll actually kill that bitch,offensive
My barber not bein able to cut my hair yesterday really prevented me from goin to the club and gettin mad bitches b he owe me 3 free cuts,offensive
Left a nice little message in his inbox so he deleted the comment where he called me a bitch &#128514; these&#8230; http://t.co/qRUvCVNepv,offensive
"@NoShtickZone Charlie Brown
A Christmas Story
Rudolph, but only because of the island of misfit toys.",neither
You like those? Honestly they tasted like the sole of my shoes RT @rllllytired: @ItsNotHarold that's a shame.,neither
"I just love that ""tweaking hoe tweaking hoe song that's the only part I no &#128584; wee be getting money so we ball out some sme sme",offensive
RT @Unorthodex: Nah I hate white people now since he looks like a dyke RT @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt,hate speech
If California Chrome doesn't go off at even money or better I might flip a trash can over I mean damn can I get 6-5? Oh the humanity!,offensive
"""Stop being a pussy, son, and shove that needle into your own heart!"" #afterearth",offensive
If only my new local mall wasn't so ghetto,offensive
@KingLister10 @Sweet_Loveeee @_ItsCheese that shit chunky lol,offensive
@GrizzboAdams @wyattnuckels I'm on that straight Cali kush bitch don't kill my vibe,offensive
this ugly bitch need to get a new name tho you don't look like me you don't have as much followers as me #killyouself zodiac killer bitch,offensive
If you got a body count already in 2014 you can't talk about anybody being a hoe,offensive
"They were taking a picture and I saw a bird fly past and I was like, oh bird! @HeidyPalma21",neither
"@_cblaze @Barbod6FCB @ODDBEAST Man bitch am not gonna do a damn thang, if u don't like what I got to say then unfollow me",hate speech
@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood,offensive
"@kcSnowWhite7 @SamSaunders42 don't forget nappy headed, butt ugly bitch, who's married to a Muslim",hate speech
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",neither
"It already Soaked, Sinked, &amp; Melted so dropped that's shit bitch IDGAF linc up or get caught &#128175;",offensive
Niggas/bitches cheat cause mf's always think they gettin played,hate speech
@vj44 did I mention you are an ugly cunt? Go back to Iran.,hate speech
Oh man. This could be a serious first ever Chanel bag contender RT @evachen212 grape-colored Chanel bags http://t.co/q8ShjIFv,neither
RT @JHarmelink182: The fox says you're a cunt.,hate speech
"You all are retarded if you really Kendrick was trying to diss all those rappers, don't think just cuz names were said he was coming at them",neither
"#Yankees take all three games in MoTown, I'm callin' it!!! #MLB",neither
Good pick birds,neither
"she pooted &#8220;@Not1FuckisGiven: Either Young Thug gay, or this bitch pooted https://t.co/g0FgRX7dju&#8221;",hate speech
"Not All Straight Men - I am frustrated. Unlike on OKCupid, queer folks don&#8217;t have the ability to block... http://t.co/hBF2xZa0ke",hate speech
@Ants_SNEweather Well you got to see pom-pom Pete,neither
"@samzbikowski Cody is ALWAYS calling people ""nigger"". He's a fucking spaz!",hate speech
"@intrepidokie nice lie #teabagger. Just because you want to see it doesn't make it real. Like Reagan was a conservative, another huge lie",neither
Someone probably told him 6 God was trash.,neither
"RT @SalomaeSadiqa: It's because you can't bend me, you can't buy me and you can't make me into your nigger! #Farrakhan #TheTime",hate speech
too many grown man out here worryin' about the friendzone....yall got priorities fucked my nig,offensive
@PowlengMawi yung nakalagay sa second page ng handout na may closed ended questions etc. Tapos lalagay sa 1/2 yellow pad,neither
"RT @meaghanyockey: ""@savanaharanda: Is you a girl or a guy is you my mom or is you my dad ?"" Im a butch dyke",hate speech
@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,hate speech
@2014samanthaKay good enough fag,hate speech
@daniellesayswha hoe,offensive
ahah fucking queer @KingJames kill urself,hate speech
RT @transtrenda: Okay okay but. Trans birds,neither
@Mimistheone stop trolling me u creepy ass cracker!!!,hate speech
"RT @t_grun: Yeah I checked my connection, I have fucking wifi. Did you check if you were being a lil bitch nigga? http://t.co/0kvF0REwjd",offensive
"Say it's all about the hoes when it's all about ou, even when I'm with my hoes, I tell em all about you",offensive
Charlie bit me,neither
RT @SeanPrice: This nigger tattoo show is horrible,hate speech
Iggy is trending. Twitter's trash today.,neither
Hate this dyke,hate speech
RT @ChanseyDaRapper: Make my way right to the trash can with these. RT @DwyaneWade: New Season. New Shoes. #MakeYourOwnWay #WayOfWade http&#8230;,neither
u a hoe,offensive
RT @DCPlod: The paranoid fear of sharia on the right boils down to: Christian fundamentalists should be the sole oppressors and persecu ...,neither
"jooooooked out RT @topmodelciara: &#8220;@11wdNICK: 4 old hoes, a ponk, and a dyke outchea having ""girl talk""&#8221;LMAO",offensive
You say no to ratchet pussy but juicy-j can't! Bands will make her dance,offensive
"""OVO"" &#8220;@Allthingsfresh3: &amp; kendrick lamar still trash&#8221;",neither
RT @yung_sexxistud: Hoes tweets be like put that dick in my throat I won't choke then when you ask them about it they say its a song hoe wh&#8230;,offensive
@Qui_ThePharaoh @zApollo0803 @MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.,hate speech
Alex Smith wears red and yellow now so quit being psycho ex boyfriends and get over him. He's in the past,neither
@Dre_Day200 nig nog,offensive
"""You ain't gunna do shit spear chucker""",hate speech
I love fuckin wit people. I be givin greedy ass nigas old as crackers wit expired cheese dey be callin me like&#8221; nigga im shittin likea goose,hate speech
"Shy singer surprises and melts Simons heart: http://t.co/RbCWsvvdJY 

This was so damn beautiful! I almost cried!!",neither
&#128530; my nerves are being worked cos of my monkey &#128529;&#128545;,neither
@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.,hate speech
&#8220;@CaptainYankee2: Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay http://t.co/XMyxfDBKOX&#8221; @jordan_luree,neither
&#8220;@Ashton5SOS: An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221; Polk Ashton. Polk,neither
@longbongchris I don't see how ud get pussy when u yourself are a pussy.,offensive
I'm in my bed like half asleep and stuff. But I really want that Oreo coffee coolatta.,neither
Green grass and tree trash. http://t.co/SO9C7g3FQ5,neither
"Why does this faggot in front of me have to get two dozen doughnuts right now, get the fuck on",hate speech
I don't fuck with these niggas cause they shady I don't fuck with these bitches all they want is to have my baby,offensive
I'm never gonna be ok with my nigga around alot of bitches while with his boys. Cause I was once that female your boys put you on !!,offensive
@_Dbankss orr why? Thts my lor bae tho wyd why u fucking up hoe?,offensive
"Tryna get to home like base to base to base, closet looking like planet of the bathing apes",neither
Surrender of Divinity - Conquerors of the Apocalypse: http://t.co/9Qv5RsY1p3 via @youtube &gt;Oriental Black Metal Hell!!,neither
"It's October babe, you don't have to be a hoe anymore.",offensive
@GorgeousCamry_ ight bitch ima see u,offensive
"@TMark617 feel same way about New England Patriots &amp; New York Yankees. But unlike u, I've worked in Boston &amp; NYC. Texas prison is upgrade",neither
@imgooby you're not funny trash,neither
Good morning coons.,hate speech
@HalieMaranda @Huntermoore bitch u perfect,offensive
Told my dad to go buy cookies for the graduation reception...this nigga bought Oreos.,hate speech
I will not leave my nigga but you can be my bitch too #idgt &#128526;&#128175;&#128074; http://t.co/EXJvKjcXEZ,offensive
I just might get to these riches I might go broke on these bitches,offensive
I don't own any #Onslaught on #Vinyl I may have to get one now. Their new Lp is available in army green coloured vinyl,neither
"RT @TheStrangeLog: Nerf the hell out of birds, they no longer attack you at long range, lower damage, don&#8217;t follow you forever.",neither
"Saw 5 pick up a dime off the floor with her toes. Apparently my ""monkey toes"" gene is strong with that one.",neither
@pontotoc2 Aren't they the best? There story is here: http://t.co/Hs3nIFMueK. Now it's time to visit our yellow friends at @21cCincinnati!,neither
RT @Isa__Lopez: @D_Lo520 but you're still a faggot,hate speech
&#8220;@Leelucas_: Yall on my TL need to be sleep yall got school tomorrow&#8221; bitch I got straight A's ion need to go &#128514;,offensive
RT @jusabadgirl_: Nothing I hate more than a SNEAKY bitch,offensive
@seansteiger31 @ me then faggot,hate speech
"RT @ugIycutie: one, two, three, four, how many niggers are in my store?",hate speech
RT @_shorrtstop: If you still put your pride in front of your feelings .. Then yes bitch your still childish,offensive
&#128514;&#128514; fucc nicca yu pose to be pullin up,hate speech
@sophhh_marie ugly emo trash go cut,hate speech
red meat trash,neither
"RT @ClicquotSuave: 20 bitches in the lobby, its plenty bitches in the lobby",offensive
The John Cantlie video issued by Al Furqan media is a new level of the Jihadi propaganda: promises more episodes &amp; wages ideological warfare,neither
@Maxwell_Larsen your a cunt,hate speech
"trust me, just set the alpha to 0. it's just as good (maybe better) than setting the visibility to false. now: fly on silver bird!",neither
&#8220;@FRATernize: I want to be obsessed with someone and I want someone to be obsessed with me&#8221;then u might have to kill the bitch&#128563;,offensive
"RT @JonHorstHoyer: ""Lester, the parasitic spider monkey, had 1 redeeming quality: he ran the boat, &amp; the boat attracted women."" 'ONLY IN #C&#8230;",neither
"Jihadis claim to have shot an #Iraq army Mi-35 attack helicopter in Beji &amp; identify its pilot by name, rank",neither
@alexissert leave dyke,hate speech
@Aram2432 I have class nig,offensive
2 beer queer,hate speech
@ImSooooMad guess who's eating cracker b without you,neither
@Soldier1eaODGrn you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.,hate speech
RT @SheTrillaryC___: You can't tell a bitch shit when they get a Job &#128514;&#128514;&#128514;&#128514;,offensive
This nig johnel keep falling asleep.... That's usually me lol,offensive
Not really sure how to describe what's happening here #eurotrash @mguiducci @nickbrown85 @ VIP Room http://t.co/WTS6nM3egc,neither
"I wish faggots like @tyga would stop making music, rack city was fucking awful. Get the fuck outta michigan.",hate speech
I fucking hate you niggers bruh... http://t.co/OeTK4f94BO,hate speech
RT @whiskeyqueeen: niggas ain't shit but hoes with dicks,offensive
"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",hate speech
@Brenddan_ wow!!! Are you comin back up here? &#128514;&#128514;&#128514;&#128514; they some bitch niggas,hate speech
only lesbians get their nips pierced ew,hate speech
RT @JaworskiMeats: Winning Browns! #cle #clevelandfans #clevelandpride #clevelandbrowns #clevelandsports #browns #brownie&#8230; http://t.co/Gm4h&#8230;,neither
RT @paulabruederle: Some birds aren't meant to be caged,neither
I'm sure @AFP would add this helpful parenthetical explanation if these were redneck peckerwood teabaggers. https://t.co/zkqg5WfE5R,hate speech
Only fat bitches and flat booty hoes today wackkkkk,offensive
"@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day",hate speech
"Good day, honkies. ...I said GOOD DAY! ...honkies.",neither
"What they taught us, man them bad bitches only want the ballers, the starters.. We hoopin now the hoes wanna guard us..",offensive
"I'm going to sell my iPhone and both my Macs, I don't support faggots.",hate speech
RT @jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering 2parasites! #tcot http://t&#8230;,neither
Dont fuck wit broke bitches,offensive
Ya lit stupid ass bitch I ain't fuccin witchuuuu &#128581;&#128683;,offensive
"These nigs is haters man, and I've made myself so easy to luv",offensive
Hoe bitches act up i turn chris breezy,offensive
"@piersmorgan shut up with your arsenal already, you bitch!",offensive
Bigots demand recount in #Idaho #gay rights ordinance referendum http://t.co/TorYEXxMwi #tcot #teaparty #teabaggers #lgbt,neither
"@TerrorFranchise Nope, definitely retarded.",offensive
@MsKeeKee90s yh I did niggah yh that shyt dope trust me fam ..,offensive
RT @CakebossLex: &#8220;@LaughAtProblems: I need me a bitch that can dance https://t.co/jDXiD5I9DK&#8221; lmfao this is ode,offensive
"Drake vs. Tyga beef, Yung Berg, Lil Fizz, Chris Brown bitch rants on Twitter, ILOVEMAKONNEN getting drug off stage. Light skins taking L's",offensive
RT @Kiaranicole_x: @_JoAries @Kash_WingateLFC @chanchan_ox babes we buy brazilian and Peruvian not Bengali,neither
@GrizzboAdams fucking block your white ass because you try to start shit like a fucking queer so fuck you NIGGA,hate speech
"RT @_VodkaThoughts_: ""Light beer? You mean faggot piss?"" -Overly Powered Man",hate speech
"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",hate speech
RT @JaclynDeeter: Well maybe you're a whore you stupid ugly homeless bitch,hate speech
I'm about to push this niggah off my seat trying to squish me and shit,offensive
@L1LTR4P fucking losers wetbacks #SorryNotSorry,hate speech
This is why my mother isn't allowed to make brownies http://t.co/h0cFT5wcBV,neither
@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,neither
"@STACCS_WNT_FOLD you tell me, coon.",hate speech
&lt;-- nudes are trash,neither
"@jacqueline_2015 I don't care if it's a ""saying"" calling someone a bitch is still calling someone a name.",offensive
damn lol RT @GlobalGrindNews: Janay Rice speaks on the domestic violence costume that mocks her marriage http://t.co/n6ucidNUuU,neither
@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang,offensive
The bird is the word. #EsuranceSave30,neither
"RT @itssJayda: &#8220;@uce_INA: &#8220;@leaisalioness: &#128081; http://t.co/uYKb0T3Fba&#8221; hoes on gish road be lookin like.. Talkin bout ""5 dolla sucky sucky""&#128514;&#8230;",offensive
@TMZ @britneyspears mickey mouse ears hat....and tail for that matter.,neither
RT @SariyaDaniellee: &#8220;@JayJuice22: The nigga who got slept is a faggot if he sues just run one again and watch ya back&#8221;LOL JUST LIKE THE PE&#8230;,offensive
#PacerNation 4/4 on the road! Perfect way to continue after #iubb have finished #NBA #Pacers #indiana #hoosiers,neither
If u not talking bout money or weed bitch I don't even wanna talk to you.,offensive
Arroz con pollo,neither
RT @RakwonOGOD: U hoes going to church this morning like y'all wasn't busting it wide open for niggas about 4 hours ago,hate speech
"Oh no she didnt &#128129; &#8220;@NoBeeetch: Watch yo mouth bitch ""@BadMatatan: One bitch and two dogs http://t.co/TB06NYGmcV""&#8221;",offensive
"A hoe gon be a hoe, that ain't a hunnid.",offensive
"@TreyDoe_: @HallDerik @20ToLife_ once fag."" You got pressed to the ground? ..hang up your cleats n never put them back on or think about it",neither
"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH",neither
loves how Day Timers always come with coloured maps and distance charts. It makes me feel far more important then I actually am.,neither
@2ANow She looks like a plastic monkey doll!,neither
"When all else fails, blast bare nips",neither
They slut for me they kill for me they steal for me and of course it'll be yo cash and I'll murder that bitch send the body back to yo ass,hate speech
Or pollo,neither
@Get__Em__Craig you owe two hoe I don't wanna hear shit when I hyu,offensive
#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it,neither
&#8220;@SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221; everyday in school.,neither
smh RT @uglyhxes Tyga shoulda knew Blacc Chyna was a hoe when his son crip walked out her pussy.,hate speech
What a fag,hate speech
@DonLemonCNN @DanaBashCNN u both sorry to give racist @SenTedCruz a platform w his trash language Dana ur intvw was below kindergarten level,neither
"RT @twerkn4boba: "" fuck you say bitch? I will kill you "" http://t.co/3EiGzh6Q13",hate speech
RT @occdissent: Ann Coulter admits on FOX News that America has a negro problem. #crime #tcot #gettingreal,hate speech
I have yet to understand why so many bytches getting the bull piercing? It's called a septic or something like that ...,offensive
"As Chanice say that, I realize the coons move from drinking Moet to Belaire. All yuh feel all yuh so fancy with all yuh $30 champagne eh",neither
Bumped into a bitch that filed for sexual harassment at work against a co-worker...I aint been so shook in my life,hate speech
ha fucking twat. go cry about mommy some more,offensive
RT @AYEVERB: On twitter you ho%s can jus take a pic with your ass out and be somebody..smh...,offensive
&#8220;@MomMeMustHaves: MMMH Daily is out! http://t.co/bPtRtXcel0 Stories via @KristinCruz&#8221; @ExMoShow #yellow is IN! &amp; @romyraves luv the bling!,neither
"on the low, wassup with you hoe?",offensive
